Year;Canton;Condamnations adultes
1984-12-31;AG;3150
1984-12-31;AI;50
1984-12-31;AR;260
1984-12-31;BE;6682
1984-12-31;BL;775
1984-12-31;BS;2771
1984-12-31;FR;1333
1984-12-31;GE;2394
1984-12-31;GL;156
1984-12-31;GR;1330
1984-12-31;JU;529
1984-12-31;LU;2319
1984-12-31;NE;1117
1984-12-31;NW;299
1984-12-31;OW;179
1984-12-31;SG;2552
1984-12-31;SH;565
1984-12-31;SO;1219
1984-12-31;SZ;469
1984-12-31;TG;883
1984-12-31;TI;2172
1984-12-31;UR;255
1984-12-31;VD;4184
1984-12-31;VS;1627
1984-12-31;ZG;537
1984-12-31;ZH;8434
1985-12-31;AG;3210
1985-12-31;AI;52
1985-12-31;AR;307
1985-12-31;BE;6784
1985-12-31;BL;868
1985-12-31;BS;3081
1985-12-31;FR;1489
1985-12-31;GE;2697
1985-12-31;GL;162
1985-12-31;GR;1275
1985-12-31;JU;476
1985-12-31;LU;2040
1985-12-31;NE;1133
1985-12-31;NW;253
1985-12-31;OW;186
1985-12-31;SG;2663
1985-12-31;SH;641
1985-12-31;SO;1271
1985-12-31;SZ;493
1985-12-31;TG;983
1985-12-31;TI;2068
1985-12-31;UR;235
1985-12-31;VD;4218
1985-12-31;VS;1648
1985-12-31;ZG;449
1985-12-31;ZH;8545
1986-12-31;AG;3512
1986-12-31;AI;67
1986-12-31;AR;308
1986-12-31;BE;7098
1986-12-31;BL;850
1986-12-31;BS;2819
1986-12-31;FR;1564
1986-12-31;GE;3088
1986-12-31;GL;209
1986-12-31;GR;1456
1986-12-31;JU;552
1986-12-31;LU;2405
1986-12-31;NE;1224
1986-12-31;NW;286
1986-12-31;OW;166
1986-12-31;SG;2840
1986-12-31;SH;722
1986-12-31;SO;1341
1986-12-31;SZ;555
1986-12-31;TG;1081
1986-12-31;TI;2148
1986-12-31;UR;274
1986-12-31;VD;4523
1986-12-31;VS;1653
1986-12-31;ZG;434
1986-12-31;ZH;8904
1987-12-31;AG;4454
1987-12-31;AI;44
1987-12-31;AR;340
1987-12-31;BE;7305
1987-12-31;BL;868
1987-12-31;BS;2695
1987-12-31;FR;1528
1987-12-31;GE;3316
1987-12-31;GL;230
1987-12-31;GR;1347
1987-12-31;JU;516
1987-12-31;LU;2367
1987-12-31;NE;1233
1987-12-31;NW;235
1987-12-31;OW;169
1987-12-31;SG;2961
1987-12-31;SH;800
1987-12-31;SO;1448
1987-12-31;SZ;496
1987-12-31;TG;980
1987-12-31;TI;2669
1987-12-31;UR;285
1987-12-31;VD;4867
1987-12-31;VS;1805
1987-12-31;ZG;438
1987-12-31;ZH;8870
1988-12-31;AG;5283
1988-12-31;AI;52
1988-12-31;AR;296
1988-12-31;BE;7184
1988-12-31;BL;667
1988-12-31;BS;2669
1988-12-31;FR;1034
1988-12-31;GE;2357
1988-12-31;GL;193
1988-12-31;GR;1352
1988-12-31;JU;526
1988-12-31;LU;2309
1988-12-31;NE;1152
1988-12-31;NW;267
1988-12-31;OW;137
1988-12-31;SG;3273
1988-12-31;SH;541
1988-12-31;SO;1256
1988-12-31;SZ;538
1988-12-31;TG;1226
1988-12-31;TI;2320
1988-12-31;UR;222
1988-12-31;VD;5438
1988-12-31;VS;1865
1988-12-31;ZG;569
1988-12-31;ZH;8833
1989-12-31;AG;5963
1989-12-31;AI;63
1989-12-31;AR;272
1989-12-31;BE;7704
1989-12-31;BL;931
1989-12-31;BS;3058
1989-12-31;FR;1406
1989-12-31;GE;2549
1989-12-31;GL;194
1989-12-31;GR;1419
1989-12-31;JU;550
1989-12-31;LU;2243
1989-12-31;NE;1333
1989-12-31;NW;343
1989-12-31;OW;129
1989-12-31;SG;3675
1989-12-31;SH;672
1989-12-31;SO;1194
1989-12-31;SZ;552
1989-12-31;TG;1300
